Reference No.,File Name,Language Detected,Variation Sets,MLU,TTR over 100 random words,Age/Days,speaker's eng proficiency index,speaker's 2nd lang proficiency index,speaker's bilingual index (by subtraction),speaker's bilingual index (by division),speaker's bilingual index (by Edinburgh formula),household english index,household 2nd lang index,household bilingual index (by subtraction),household bilingual index (by division),household bilingual index (by Edinburgh formula)
VS003,Data/Transcripts/Copy of VS003_t_ash.txt,en,0.933125341,5.111111111,0.58,419,na,na,na,na,na,0.83,0.17,0.67,5,0.67
VS004,Data/Transcripts/Copy of VS004_t_ash.txt,en,0.906687063,5.8,0.51,529,na,na,na,na,na,0.49,0.51,-0.02,0.97,-0.02
VS009,Data/Transcripts/Copy of VS009_t_ash.txt,en,0.822741513,3.14953271,0.52,810,na,na,na,na,na,0.33,0.67,-0.33,0.5,-0.33
VS010,Data/Transcripts/Copy of VS010_t_ash.txt,en,0.901541643,4.023255814,0.64,569,na,na,na,na,na,0.62,0.38,0.24,1.63,0.24
VS011,Data/Transcripts/Copy of VS011_checked by debbie_monique.txt,en,0.879300308,3.005780347,0.41,619,na,na,na,na,na,0.37,0.63,-0.25,0.59,-0.25
VS012,Data/Transcripts/Copy of VS012_t_ash.txt,en,0.929458162,3.302325581,0.46,743,na,na,na,na,na,0.45,0.55,-0.1,0.83,-0.1
VS013,Data/Transcripts/Copy of VS013_t_ash.txt,en,0.927318296,2.737804878,0.45,531,na,na,na,na,na,0.49,0.51,-0.02,0.97,-0.02
VS014,Data/Transcripts/Copy of VS014_t_ash.txt,en,0.88894647,3.20610687,0.46,320,na,na,na,na,na,0.5,0.5,0,1,0
VS019,Data/Transcripts/VS019_Scrambled_unchecked_copy of VS070.txt,en,0.931926407,3.872340426,0.4,555,0.39,0.44,-0.05,0.89,-0.06,0.83,0.17,0.67,5,0.67
VS020,Data/Transcripts/Copy of VS020_t_ash.txt,en,0.900128474,4.25045045,0.65,958,na,na,na,na,na,0.71,0.29,0.41,2.41,0.41
VS021,Data/Transcripts/Copy of VS021_t_ash.txt,en,0.907312691,3.584415584,0.5,640,na,na,na,na,na,0.79,0.21,0.59,3.85,0.59
VS022,Data/Transcripts/Copy of VS022_t_ash.txt,en,0.897034509,4.591240876,0.61,1129,na,na,na,na,na,0.5,0.5,0,1,0
VS023,Data/Transcripts/Copy of VS023.txt,en,0.900610096,4.609375,0.49,481,na,na,na,na,na,0.42,0.58,-0.16,0.73,-0.16
VS024,Data/Transcripts/Copy of VS024.txt,en,0.960752726,5.605263158,0.6,679,na,na,na,na,na,0.75,0.25,0.51,3.06,0.51
VS025,Data/Transcripts/Copy of VS025_checked by Wenqi_Monique.txt,en,0.925761758,4.217877095,0.59,679,na,na,na,na,na,0.75,0.25,0.51,3.06,0.51
VS026,Data/Transcripts/Copy of VS026.txt,en,0.879130238,4.452991453,0.47,183,0.34,0.33,0.01,1.03,0.01,0.67,0.33,0.33,2,0.33
VS028,Data/Transcripts/VS028_varset_checked_copyof VS069.txt,en,0.89917287,3.1875,0.54,579,0.6,0.33,0.28,1.85,0.3,0.58,0.42,0.16,1.38,0.16
VS033,Data/Transcripts/Copy of VS033.txt,en,0.887693598,5.417266187,0.51,1010,na,na,na,na,na,0.58,0.42,0.16,1.38,0.16
VS034,Data/Transcripts/Copy of VS034.txt,en,0.915045094,5.115384615,0.57,568,na,na,na,na,na,0.83,0.17,0.67,5,0.67
VS035,Data/Transcripts/Copy of VS035.txt,en,0.837709131,5.090909091,0.54,959,na,na,na,na,na,1,0,1,na,1
VS036,Data/Transcripts/Copy of VS036.txt,en,0.879149774,4.314606742,0.49,650,na,na,na,na,na,0.5,0.5,0,1,0
VS037,Data/Transcripts/Copy of VS037.txt,en,0.882314504,5.752941176,0.44,867,na,na,na,na,na,0.87,0.13,0.75,6.88,0.75
VS038,Data/Transcripts/Copy of VS038_checked by xinyun_by wenqi.txt,en,0.90986812,4.132701422,0.56,655,na,na,na,na,na,0.5,0.5,0,1,0
VS039,Data/Transcripts/Copy of VS039_checked by wenqi_xinyun,en,0.957174958,3.418848168,0.56,1083,na,na,na,na,na,0.87,0.13,0.75,6.88,0.75
VS041,Data/Transcripts/Copy of VS041_checkedbyxinyun _ Joseph.txt,en,0.926765956,4.376068376,0.57,960,0.75,0.2,0.56,3.85,0.59,0.83,0.17,0.67,5,0.67
VS042,Data/Transcripts/Copy of VS042_checkedbyxinyun _ Joseph.txt,en,0.926765956,4.376068376,0.61,na,0.75,0.2,0.56,3.85,0.59,0.83,0.17,0.67,5,0.67
VS043,Data/Transcripts/Copy of VS043_checkedbyxinyin_ Monique.txt,en,0.918685437,4.011764706,0.51,629,na,na,na,na,na,0.67,0.33,0.33,2,0.33
VS045,Data/Transcripts/VS045_Scrambled_unchecked.txt,en,0.88474696,4.20754717,0.62,580,na,na,na,na,na,0.54,0.46,0.08,1.17,0.08
VS046,Data/Transcripts/VS046_nonadj_VS072.txt,en,0.911215024,5.072727273,0.57,428,na,na,na,na,na,0.54,0.46,0.08,1.17,0.08
VS047,Data/Transcripts/Copy of VS047.txt,en,0.950751417,5.203389831,0.51,302,0.57,0.27,0.3,2.13,0.36,0.5,0.5,0,1,0
VS048,Data/Transcripts/VS048_Scrambled_unchecked.txt,en,0.866911938,5.759259259,0.47,na,na,na,na,na,na,na,na,na,na,na
VS049,Data/Transcripts/Copy of VS049_checked by debbie_xinyun,en,0.898591712,3.719745223,0.51,655,na,na,na,na,na,0.5,0.5,0,1,0
VS053,Data/Transcripts/Copy of VS053.txt,en,0.920833938,9.375,0.64,252,na,na,na,na,na,1,0,1,na,1
VS054,Data/Transcripts/VS054_Scrambled_checked.txt,en,0.944541276,4.474358974,0.48,598,na,na,na,na,na,0.92,0.08,0.84,11.6,0.84
VS055,Data/Transcripts/Copy of VS055_checked by wenqi_seconded by debbie.txt,en,0.896518664,4.660550459,0.55,753,na,na,na,na,na,1,0,1,na,1
VS056,Data/Transcripts/Copy of VS056.txt,en,0.892753617,6.333333333,0.49,268,na,na,na,na,na,0.13,0.87,-0.75,0.15,-0.75
VS057,Data/Transcripts/Copy of VS057.txt,en,0.933596565,5.622222222,0.51,250,0.41,0.54,-0.13,0.77,-0.13,0.5,0.5,0,1,0
VS060,Data/Transcripts/Copy of VS060.txt,en,0.929518149,3.544554455,0.51,1017,na,na,na,na,na,0.58,0.42,0.16,1.38,0.16
VS061,Data/Transcripts/Copy of VS061.txt,en,0.866928598,4.90647482,0.55,837,na,na,na,na,na,0.71,0.29,0.41,2.41,0.41
VS062,Data/Transcripts/Copy of VS062.txt,en,0.915374634,4.182539683,0.47,845,na,na,na,na,na,0.71,0.29,0.41,2.41,0.41
VS063,Data/Transcripts/VS063_nonadj_VS152.txt,en,0.937268519,2.536585366,0.28,283,na,na,na,na,na,0.5,0.5,0,1,0
VS064,Data/Transcripts/Copy of VS064.txt,en,0.891610232,4.779411765,0.53,288,0.56,0.39,0.18,1.46,0.19,0.87,0.13,0.75,6.88,0.75
VS065,Data/Transcripts/Copy of VS065.txt,en,0.954866046,4.06043956,0.61,769,na,na,na,na,na,0.25,0.75,-0.51,0.33,-0.51
VS067,Data/Transcripts/Copy of VS067.txt,en,0.906048124,3.127596439,0.55,282,na,na,na,na,na,0.59,0.41,0.17,1.42,0.17
VS068,Data/Transcripts/Copy of VS068.txt,en,0.934560896,2.85483871,0.61,na,0.7,0.3,0.4,2.33,0.4,0.48,0.52,-0.05,0.91,-0.05
VS069,Data/Transcripts/VS069_nonadj_VS028.txt,en,0.89917287,3.1875,0.59,na,0.6,0.33,0.28,1.85,0.3,0.62,0.38,0.25,1.66,0.25
VS072,Data/Transcripts/VS072_scrambled_checked_copyof VS046.txt,en,0.911215024,5.072727273,0.52,na,0.66,0.31,0.35,2.13,0.36,0.8,0.2,0.6,4,0.6
VS074,Data/Transcripts/VS074_Varset_checked.txt,en,0.871151626,4.418803419,0.25,na,0.5,0.33,0.18,1.54,0.21,0.2,0.8,-0.6,0.25,-0.6
VS075,Data/Transcripts/Copy of VS075_checkedbyxinyun_seconded by elsie.txt,en,0.923467951,5.47029703,0.55,na,0.5,0.5,0,1,0,0.72,0.28,0.45,2.62,0.45
VS076,Data/Transcripts/VS076_varset_checked_copyofVS042_done_all.txt,en,0.926765956,4.376068376,0.63,na,0.75,0.2,0.56,3.85,0.59,0.82,0.18,0.65,4.68,0.65
VS078,Data/Transcripts/Copy of VS078.txt,en,0.373684069,2.741176471,0.45,288,0.85,0.15,0.7,5.67,0.7,0.78,0.22,0.55,3.47,0.55
VS079,Data/Transcripts/Copy of VS079.txt,en,0.801569321,5.681818182,0.48,453,0.53,0.48,0.06,1.12,0.06,0.7,0.3,0.4,2.33,0.4
VS080,Data/Transcripts/Copy of VS080.txt,en,0.887114846,1.958333333,0.45,611,0.58,0.43,0.15,1.35,0.15,0.85,0.15,0.7,5.56,0.7
VS081,Data/Transcripts/Copy of VS081.txt,en,0.952796117,4.09375,0.5,624,0.45,0.5,-0.05,0.9,-0.05,0.7,0.3,0.39,2.28,0.39
VS082,Data/Transcripts/Copy of VS082.txt,en,0.913588435,3.956521739,0.4,403,0.56,0.41,0.15,1.36,0.15,0.4,0.6,-0.2,0.67,-0.2
VS083,Data/Transcripts/Copy of VS083.txt,en,0.894191555,4.122807018,0.54,1007,0.62,0.38,0.24,1.61,0.24,0.9,0.1,0.8,9,0.8
VS084,Data/Transcripts/Copy of VS084.txt,en,0.834521284,4.383458647,0.41,423,0.64,0.35,0.29,1.82,0.29,0.56,0.44,0.12,1.27,0.12
VS085,Data/Transcripts/Copy of VS085.txt,en,0.839147344,3.466101695,0.37,599,0.53,0.48,0.05,1.11,0.05,0.8,0.2,0.61,4.12,0.61
VS088,Data/Transcripts/Copy of VS088.txt,en,0.87528377,5.342465753,0.42,192,0.86,0.14,0.73,6.27,0.73,1,0,1,na,1
VS089,Data/Transcripts/Copy of VS089.txt,en,0.937580715,6.128571429,0.56,na,0.55,0.41,0.14,1.33,0.14,0.85,0.15,0.7,5.56,0.7
VS091,Data/Transcripts/Copy of VS091_checked by chaomin_seconded by nadiah,en,0.967878478,3.271028037,0.42,na,0.55,0.45,0.1,1.22,0.1,0.3,0.7,-0.4,0.43,-0.4
VS092,Data/Transcripts/Copy of VS092_checked by chaomin_seconded by Nadiah,en,0.93233165,3.393548387,0.56,na,0.94,0.08,0.85,11.25,0.84,0.91,0.09,0.83,10.67,0.83
VS093,Data/Transcripts/Copy of VS093.txt,en,0.970820383,2.903954802,0.5,410,0.48,0.53,-0.05,0.9,-0.05,0.7,0.3,0.41,2.39,0.41
VS094,Data/Transcripts/Copy of VS094.txt,en,0.812341942,3.582278481,0.47,276,0.48,0.47,0.01,1.02,0.01,0.5,0.5,0,1,0
VS099,Data/Transcripts/Copy of VS099.txt,en,0.909707944,3.888888889,0.51,na,0.55,0.38,0.18,1.47,0.19,0.55,0.45,0.1,1.21,0.1
VS100,Data/Transcripts/Copy of VS100_checked by debbie_xinyun.txt,en,0.922088668,6,0.5,313,0.7,0.3,0.4,2.33,0.4,1,na,na,na,na
VS102,Data/Transcripts/Copy of VS102_checked by sihui_seconded by nadiah,en,0.955657437,4.368421053,0.57,540,0.75,0.25,0.5,3,0.5,1,0,1,na,1
VS103,Data/Transcripts/Copy of VS103.txt,en,0.802346687,6.132231405,0.51,228,0.56,0.43,0.14,1.32,0.14,na,na,na,na,na
VS104,Data/Transcripts/Copy of VS104_checked by sihui_seconded by nadiah,en,0.893813131,3.846153846,0.48,413,0.38,0.63,-0.25,0.6,-0.25,0.95,0.05,0.9,20,0.9
VS105,Data/Transcripts/Copy of VS105_checked by wenqi_seconded by nadiah,en,0.892470059,4.078947368,0.42,316,0.6,0.4,0.2,1.5,0.2,0.3,0.7,-0.4,0.43,-0.4
VS106,Data/Transcripts/Copy of VS106_checked by debbie_seconded by nadiah,en,0.883162825,3.635714286,0.51,333,0.5,0.45,0.05,1.11,0.05,0.45,0.55,-0.1,0.83,-0.1
VS107,Data/Transcripts/Copy of VS107_checked by chaomin_seconded by elsie.txt,en,0.885109239,4.754098361,0.61,286,0.54,0.29,0.25,1.86,0.3,0.38,0.54,-0.16,0.7,-0.18
VS108,Data/Transcripts/Copy of VS108_checkedbyxinyun_seconded by elsie.txt,en,0.878406778,3.710144928,0.38,301,0.4,0.6,-0.2,0.67,-0.2,0.3,0.7,-0.4,0.43,-0.4
VS110,Data/Transcripts/Copy of VS110.txt_,en,0.929332332,3.632,0.54,475,na,na,na,na,na,na,na,na,na,na
VS112,Data/Transcripts/Copy of VS112_checkedbyxinyun.txt,en,0.91224528,4.139534884,0.58,na,na,na,na,na,na,na,na,na,na,na
VS116,Data/Transcripts/Copy of VS116_checked by chaomin_seconded by nadiah,en,0.894483194,4.810810811,0.48,na,na,na,na,na,na,na,na,na,na,na
VS117,Data/Transcripts/Copy of VS117_checkedbyxinyun_seconded by elsie.txt,en,0.899987538,4.448275862,0.48,na,na,na,na,na,na,na,na,na,na,na
VS118,Data/Transcripts/Copy of VS118_checkedbyxinyun_seconded by elsie.txt,en,0.918506494,3.441176471,0.54,na,na,na,na,na,na,na,na,na,na,na
VS119,Data/Transcripts/Copy of VS119_checked by nadiah_monique.txt,en,0.905398975,5.416666667,0.5,na,na,na,na,na,na,na,na,na,na,na
VS121,Data/Transcripts/VS121_Scrambled_checked.txt,en,0.888785377,4.251533742,0.53,160,0.71,0.29,0.43,2.48,0.43,0.84,0.16,0.68,5.27,0.68
VS123,Data/Transcripts/Copy of VS123.txt,en,0.941035562,4.824561404,0.54,423,0.63,0.38,0.25,1.67,0.25,0.85,0.15,0.7,5.67,0.7
VS124,Data/Transcripts/Copy of VS124.txt,en,0.932479422,4.488888889,0.54,414,0.46,0.46,0,1,0,0.65,0.35,0.3,1.88,0.3
VS125,Data/Transcripts/Copy of VS125_checked by chaomin_seconded by nadiah,en,0.863167388,3.476190476,0.34,396,0.5,0.5,0,1,0,0.5,0.5,0,1,0
VS126,Data/Transcripts/VS126_Varset_checked.txt,en,0.896744547,3.45971564,0.49,553,0.65,0.33,0.33,2,0.33,0.7,0.3,0.4,2.35,0.4
VS128,Data/Transcripts/VS128_Varset_checked.txt,en,0.904460094,4.909090909,0.46,422,0.63,0.38,0.25,1.67,0.25,0.7,0.3,0.4,2.33,0.4
VS129,Data/Transcripts/VS129_Scrambled_checked.txt,en,0.892756202,4.202898551,0.4,422,0.63,0.38,0.25,1.67,0.25,0.7,0.3,0.4,2.33,0.4
VS130,Data/Transcripts/VS130_Varset_checked.txt,en,0.92481685,5.726027397,0.49,526,0.55,0.45,0.1,1.22,0.1,0.8,0.2,0.6,4,0.6
VS131,Data/Transcripts/Copy of VS131_checked by sihui_seconded by nadiah,en,0.923130111,3.862068966,0.37,372,0.56,0.36,0.2,1.55,0.22,0.85,na,na,na,na
VS132,Data/Transcripts/Copy of VS132_checked by sihui_seconded by chaomin.txt,en,0.942032076,3.639053254,0.53,403,0.5,0.5,0,1,0,0.7,0.3,0.4,2.33,0.4
VS133,Data/Transcripts/Copy of VS133_checked by sihui_seconded by elsie.txt,en,0.92020092,3.464,0.62,578,0.46,0.41,0.05,1.13,0.06,0.65,0.35,0.3,1.84,0.3
VS135,Data/Transcripts/VS135_Scrambled_checked.txt,en,0.876355129,3.69273743,0.5,546,0.75,0.19,0.56,4,0.6,1,0,1,na,1
VS138,Data/Transcripts/Copy of VS138_checked by nadiah_seconded by chaomin.txt,en,0.861073232,4.09009009,0.39,1091,0.5,0.5,0,1,0,0.9,0.1,0.8,9,0.8
VS140,Data/Transcripts/Copy of VS140_checked by sihui _ Joseph.txt,en,0.917822736,3.647058824,0.53,601,0.64,0.33,0.31,1.96,0.32,0.94,0.06,0.88,15.15,0.88
VS141,Data/Transcripts/Copy of VS141_checked by chaomin.txt,en,0.895584971,4.5,0.5,433,0.5,0.5,0,1,0,0.45,0.55,-0.1,0.83,-0.1
VS142,Data/Transcripts/Copy of VS142_checkedbyxinyun.txt,en,0.8905384,5.024096386,0.47,744,0.36,0.61,-0.25,0.59,-0.26,0.4,0.55,-0.15,0.72,-0.16
VS143,Data/Transcripts/VS143_scrambled_unchecked_copyofVS081_done_all.txt,en,0.952796117,4.09375,0.49,528,0.45,0.5,-0.05,0.9,-0.05,0.65,0.35,0.3,1.88,0.3
VS145,Data/Transcripts/Copy of VS145_checked by nadiah_monique.txt,en,0.955574826,4.663461538,0.53,212,0.45,0.5,-0.05,0.9,-0.05,0.78,0.22,0.56,3.57,0.56
VS146,Data/Transcripts/VS146_varset_unchecked_copyofVS064_done_all.txt,en,0.891610232,4.779411765,0.47,558,0.7,0.3,0.4,2.33,0.4,0.92,0.08,0.85,12.13,0.85
VS147,Data/Transcripts/VS147_Varset_checked.txt,en,0.9351585,3.896551724,0.51,537,0.43,0.43,0,1,0,0.7,0.3,0.4,2.33,0.4
VS148,Data/Transcripts/Copy of VS148_checked by sihui_seconded by chaomin.txt,en,0.934098639,3.459016393,0.47,382,0.63,0.2,0.43,3.13,0.52,0.73,0.25,0.48,2.92,0.49
VS149,Data/Transcripts/VS149_repeatednarration_VS100.txt,en,0.900538576,4.557894737,0.51,424,0.6,0.4,0.2,1.5,0.2,0.9,0.1,0.8,9,0.8
VS150,Data/Transcripts/Copy of VS150_checked by Wenqi _ Joseph.txt,en,0.88647921,4.106060606,0.35,555,0.43,0.43,0,1,0,0.5,0.5,0,1,0
VS152,Data/Transcripts/VS152_varset_unchecked_copyof VS063.txt,en,0.937268519,2.536585366,0.27,569,na,na,na,na,na,0.5,0.5,0,1,0
VS154,Data/Transcripts/Copy of VS154_checked by nadiah_seconded by elsie.txt,en,0.917606795,3.730994152,0.6,577,0.48,0.38,0.1,1.26,0.12,0.43,0.57,-0.14,0.75,-0.14
VS155,Data/Transcripts/VS155_Varset_checked.txt,en,0.87769306,3.862745098,0.56,0,0.5,na,na,na,na,0.5,0.5,0,1,0
